Basic Data Analysis	Apply standard statistical inference procedures to draw conclusions from data
Industrial Control Systems	Demonstrate the ability to understand, evaluate and implement security functionality across an industrial network
Intro to Theory of Computation	Describe the concepts of complexity and computability
Intrusion Detection / Prevention Systems	Demonstrate the ability to detect, identify, resolve and document host or network intrusions
Intrusion Detection / Prevention Systems	Demonstrate the ability to detect various types of malware (keyloggers, rootkits) and unauthorized devices (rogue wireless access points) on a live network
Intrusion Detection / Prevention Systems	Demonstrate the ability to configure IDS/IPS systems to reduce false positives and false negatives
Life-Cycle Security	Analyze a security failure and identify how decisions in other phases of the system life-cycle influenced the eventual failure
Life-Cycle Security	List and describe the phases of the system life-cycle
Life-Cycle Security	List and describe the elements of a maturity model
Low Level Programming	Utilize low level programming languages to implement complex programs such as internal operating system components and drivers to interface with and control hardware devices
Mobile Technologies	Describe how a mobile device maintains connectivity to the network while in motion, to include how infrastructure nodes handle passing the mobile device from one node to the next
Mobile Technologies	Explain the weaknesses of WEP and which ones have been addressed and how
Network Security Administration	Appropriately position network security components within a network architecture to implement a layered defense
Network Security Administration	Securely configure network devices and services and establish secure communications between networks
Operating Systems Hardening	Describe, for a given OS, the steps necessary for hardening the OS with respect to various applications Securely install a given OS, remove or shut down unnecessary components and services, close unnecessary ports, and ensure that all patches and updates are applied
Operating Systems Theory	Understanding of operating systems theory and implementation; understand OS internals to the level they can design and implement significant architectural changes to an existing OS
Overview of Cyber Operations	Describe the laws that provide US entities the authority to perform cyber operations
Overview of Cyber Operations	List the phases of a well organized cyber operation and describe the goals and objectives of each phase
Overview of Cyber Operations	Identify specific phases of a cyber operation in network traffic
Overview of Cyber Operations	Describe potential motivations that might prompt an entity to perform a cyber operation
Penetration Testing	Plan, organize and perform penetration testing on a simple network
QA / Functional Testing	Develop effective tests in a structured, organized manner
QA / Functional Testing	Perform security functional testing to demonstrate that security policies and mechanisms are completely and correctly implemented
RF Principles	Identify methods for isolating RF emissions
RF Principles	Identify techniques for obfuscating RF transmissions
RF Principles	Discuss the tradeoffs associated with bandwidth data rate, modulation, complexity, acceptable BER, and signal spreading
Secure Programming Practices	Produce software components that satisfy their functional requirements without introducing vulnerabilities
Secure Programming Practices	Describe the characteristics of secure programming
Security Program Management	Apply knowledge to develop a security program, identifying goals, objectives and metrics
Security Program Management	Apply their knowledge to effectively manage a security program
Security Program Management	Assess the effectiveness of a security program
Security Risk Analysis	Describe how risk relates to a system security policy
Security Risk Analysis	Describe various risk analysis methodologies
Security Risk Analysis	Evaluate and categorize risk 1) with respect to technology; 2) with respect to individuals, and 3) in the enterprise, and recommend appropriate responses
Security Risk Analysis	Compare the advantages and disadvantages of various risk assessment methodologies
Security Risk Analysis	Select the optimal methodology based on needs, advantages and disadvantages
Software Assurance	Describe the importance of secure software, and the programming practices and development processes and methodologies that lead to secure software
Software Reverse Engineering	Use a common SW RE tool to safely perform static and dynamic analysis of software (or malware) of unknown origin for the purposes of recovering the original implementation and/or understanding the software functionality
Supply Chain Security	Describe the issues related to outsourcing hardware and/or software development and/or integration
Supply Chain Security	Describe methods to mitigate these issues, and the limitations of these methods
Systems Programming	Implement new functions in an OS kernel
Systems Programming	Develop complex and sophisticated programs, such as a device driver, that can be embedded into an OS kernel
Systems Programming	Write a program that implements a network stack to manage network communications
Systems Programming	Write a functional, stand-alone assembly language program of the complexity of a basic telnet client, with no help from external libraries
Systems Security Engineering	Analyze system components and determine how they will interact in a composed system
Systems Security Engineering	Analyze a system design and determine if the design will meet the system security requirements
Virtualization Technologies	Describe the fundamental concepts of virtualization
Virtualization Technologies	Compare and contrast the different virtualization architectures
Vulnerability Analysis	Describe characteristics of malware
Vulnerability Analysis	Identify malware
Vulnerability Analysis	Apply tools and techniques for identifying vulnerabilities
Wireless Sensor Networks	Describe the challenges associated with wireless sensor networks, including coordination, energy efficiency, self organization and security
